Result Number,Satellite,Date,Beam Mode,Polarization,Type,Image Info,Metadata,Download Link,Sequence ID,Footprint
564,RADARSAT-1,2005-07-23T07:40:56 +0000,ScanSAR Wide A (W1 W2 W3 S7),HH,SCW,{"headers":["Product Type" "LUT_APPLIED" "Sampled Pixel Spacing (Panchromatic)" "Product Format" "Geodetic Terrain Height"] "imageID":"4195790" "relatedProducts":[{"values":["SCW" "Mixed" "50.0" "CEOS" "0.0"]}] "collectionID":"Radarsat1"},dummy value,https://radarsat-r1-l1-cog.s3.ca-central-1.amazonaws.com/2005/7/RS1_X0498611_SCWA_20050723_074223_HH_SCW.tif,4195790,-75.632786 58.313628 -85.094097 59.271053 -86.296061 54.187369 -77.996581 53.270428 -75.632786 58.313628 
565,RADARSAT-1,2005-07-20T18:56:35 +0000,ScanSAR Wide A (W1 W2 W3 S7),HH,SCW,{"headers":["Product Type" "LUT_APPLIED" "Sampled Pixel Spacing (Panchromatic)" "Product Format" "Geodetic Terrain Height"] "imageID":"4195820" "relatedProducts":[{"values":["SCW" "Mixed" "50.0" "CEOS" "0.0"]}] "collectionID":"Radarsat1"},dummy value,https://radarsat-r1-l1-cog.s3.ca-central-1.amazonaws.com/2005/7/RS1_X0498446_SCWA_20050720_185509_HH_SCW.tif,4195820,-82.901317 55.007183 -74.243222 55.936528 -75.482883 60.975650 -85.425367 59.996161 -82.901317 55.007183 
566,RADARSAT-1,2005-07-20T18:55:19 +0000,ScanSAR Wide A (W1 W2 W3 S7),HH,SCW,{"headers":["Product Type" "LUT_APPLIED" "Sampled Pixel Spacing (Panchromatic)" "Product Format" "Geodetic Terrain Height"] "imageID":"4195821" "relatedProducts":[{"values":["SCW" "Mixed" "50.0" "CEOS" "0.0"]}] "collectionID":"Radarsat1"},dummy value,https://radarsat-r1-l1-cog.s3.ca-central-1.amazonaws.com/2005/7/RS1_X0498445_SCWA_20050720_185352_HH_SCW.tif,4195821,-81.042678 50.543256 -73.266222 51.446900 -74.416133 56.535231 -83.174450 55.603656 -81.042678 50.543256 
567,RADARSAT-1,2005-07-20T07:29:53 +0000,ScanSAR Wide A (W1 W2 W3 S7),HH,SCW,{"headers":["Product Type" "LUT_APPLIED" "Sampled Pixel Spacing (Panchromatic)" "Product Format" "Geodetic Terrain Height"] "imageID":"4195756" "relatedProducts":[{"values":["SCW" "Mixed" "50.0" "CEOS" "0.0"]}] "collectionID":"Radarsat1"},dummy value,https://radarsat-r1-l1-cog.s3.ca-central-1.amazonaws.com/2005/7/RS1_X0498610_SCWA_20050720_072826_HH_SCW.tif,4195756,-72.672922 57.947083 -82.041614 58.900872 -83.234528 53.814769 -75.002444 52.899539 -72.672922 57.947083 
568,RADARSAT-1,2005-07-17T18:43:48 +0000,ScanSAR Wide A (W1 W2 W3 S7),HH,SCW,{"headers":["Product Type" "LUT_APPLIED" "Sampled Pixel Spacing (Panchromatic)" "Product Format" "Geodetic Terrain Height"] "imageID":"4195822" "relatedProducts":[{"values":["SCW" "Mixed" "50.0" "CEOS" "0.0"]}] "collectionID":"Radarsat1"},dummy value,https://radarsat-r1-l1-cog.s3.ca-central-1.amazonaws.com/2005/7/RS1_X0498444_SCWA_20050717_184222_HH_SCW.tif,4195822,-79.429992 54.390306 -70.928169 55.310597 -72.145144 60.343786 -81.876164 59.377794 -79.429992 54.390306 
569,RADARSAT-1,2005-07-17T11:15:52 +0000,ScanSAR Wide A (W1 W2 W3 S7),HH,GRF,{"headers":["Product Type" "LUT_APPLIED" "Sampled Pixel Spacing (Panchromatic)" "Product Format" "Geodetic Terrain Height"] "imageID":"11207959" "relatedProducts":[{"values":["GRF" "" "100.0" "CEOS" "0.0"]}] "collectionID":"Radarsat1"},dummy value,https://radarsat-r1-l1-cog.s3.ca-central-1.amazonaws.com/2005/7/RS1_50634_SWA_F310_20050717_111709_HH_GRF.tif,11207959,-79.961027 53.941397 -72.320426 53.330309 -70.319129 57.842683 -78.925040 58.502604 -79.961027 53.941397 
570,RADARSAT-1,2005-07-17T07:17:24 +0000,ScanSAR Wide A (W1 W2 W3 S7),HH,SCW,{"headers":["Product Type" "LUT_APPLIED" "Sampled Pixel Spacing (Panchromatic)" "Product Format" "Geodetic Terrain Height"] "imageID":"4195720" "relatedProducts":[{"values":["SCW" "Mixed" "50.0" "CEOS" "0.0"]}] "collectionID":"Radarsat1"},dummy value,https://radarsat-r1-l1-cog.s3.ca-central-1.amazonaws.com/2005/7/RS1_X0498609_SCWA_20050717_071557_HH_SCW.tif,4195720,-69.751414 57.554414 -78.970725 58.499069 -80.159731 53.397631 -72.046825 52.489322 -69.751414 57.554414 
571,RADARSAT-1,2005-07-16T19:13:15 +0000,ScanSAR Wide A (W1 W2 W3 S7),HH,SCW,{"headers":["Product Type" "LUT_APPLIED" "Sampled Pixel Spacing (Panchromatic)" "Product Format" "Geodetic Terrain Height"] "imageID":"4195778" "relatedProducts":[{"values":["SCW" "Mixed" "50.0" "CEOS" "0.0"]}] "collectionID":"Radarsat1"},dummy value,https://radarsat-r1-l1-cog.s3.ca-central-1.amazonaws.com/2005/7/RS1_X0498443_SCWA_20050716_191149_HH_SCW.tif,4195778,-86.931456 54.630144 -78.353100 55.557300 -79.576989 60.575022 -89.402703 59.600208 -86.931456 54.630144 
572,RADARSAT-1,2005-07-16T19:11:58 +0000,ScanSAR Wide A (W1 W2 W3 S7),HH,SCW,{"headers":["Product Type" "LUT_APPLIED" "Sampled Pixel Spacing (Panchromatic)" "Product Format" "Geodetic Terrain Height"] "imageID":"4195786" "relatedProducts":[{"values":["SCW" "Mixed" "50.0" "CEOS" "0.0"]}] "collectionID":"Radarsat1"},dummy value,https://radarsat-r1-l1-cog.s3.ca-central-1.amazonaws.com/2005/7/RS1_X0498442_SCWA_20050716_191031_HH_SCW.tif,4195786,-85.068619 50.090200 -77.365342 50.992700 -78.505261 56.072900 -87.163044 55.144336 -85.068619 50.090200 
573,RADARSAT-1,2005-07-13T22:58:51 +0000,ScanSAR Wide A (W1 W2 W3 S7),HH,GRF,{"headers":["Product Type" "LUT_APPLIED" "Sampled Pixel Spacing (Panchromatic)" "Product Format" "Geodetic Terrain Height"] "imageID":"11207045" "relatedProducts":[{"values":["GRF" "" "100.0" "CEOS" "0.0"]}] "collectionID":"Radarsat1"},dummy value,https://radarsat-r1-l1-cog.s3.ca-central-1.amazonaws.com/2005/7/RS1_50584_SWA_F140_20050713_230008_HH_GRF.tif,11207045,-76.063996 58.491523 -84.759343 57.796257 -82.781006 53.290705 -75.018802 53.960140 -76.063996 58.491523 
574,RADARSAT-1,2005-07-13T22:58:10 +0000,ScanSAR Wide A (W1 W2 W3 S7),HH,GRF,{"headers":["Product Type" "LUT_APPLIED" "Sampled Pixel Spacing (Panchromatic)" "Product Format" "Geodetic Terrain Height"] "imageID":"11207208" "relatedProducts":[{"values":["GRF" "" "100.0" "CEOS" "0.0"]}] "collectionID":"Radarsat1"},dummy value,https://radarsat-r1-l1-cog.s3.ca-central-1.amazonaws.com/2005/7/RS1_50584_SWA_F134_20050713_225927_HH_GRF.tif,11207208,-75.506649 56.147320 -83.701922 55.443481 -81.850427 50.951114 -74.504368 51.613315 -75.506649 56.147320 
575,RADARSAT-1,2005-07-13T19:00:45 +0000,ScanSAR Wide A (W1 W2 W3 S7),HH,SCW,{"headers":["Product Type" "LUT_APPLIED" "Sampled Pixel Spacing (Panchromatic)" "Product Format" "Geodetic Terrain Height"] "imageID":"4195811" "relatedProducts":[{"values":["SCW" "Mixed" "50.0" "CEOS" "0.0"]}] "collectionID":"Radarsat1"},dummy value,https://radarsat-r1-l1-cog.s3.ca-central-1.amazonaws.com/2005/7/RS1_X0498441_SCWA_20050713_185918_HH_SCW.tif,4195811,-83.921389 54.952511 -75.275239 55.881667 -76.516533 60.931378 -86.445661 59.952236 -83.921389 54.952511 
576,RADARSAT-1,2005-07-13T18:59:28 +0000,ScanSAR Wide A (W1 W2 W3 S7),HH,SCW,{"headers":["Product Type" "LUT_APPLIED" "Sampled Pixel Spacing (Panchromatic)" "Product Format" "Geodetic Terrain Height"] "imageID":"4195798" "relatedProducts":[{"values":["SCW" "Mixed" "50.0" "CEOS" "0.0"]}] "collectionID":"Radarsat1"},dummy value,https://radarsat-r1-l1-cog.s3.ca-central-1.amazonaws.com/2005/7/RS1_X0498440_SCWA_20050713_185802_HH_SCW.tif,4195798,-82.066231 50.488808 -74.297447 51.392553 -75.442231 56.462819 -84.185889 55.531483 -82.066231 50.488808 
577,RADARSAT-1,2005-07-13T07:34:02 +0000,ScanSAR Wide A (W1 W2 W3 S7),HH,SCW,{"headers":["Product Type" "LUT_APPLIED" "Sampled Pixel Spacing (Panchromatic)" "Product Format" "Geodetic Terrain Height"] "imageID":"4195481" "relatedProducts":[{"values":["SCW" "Mixed" "50.0" "CEOS" "0.0"]}] "collectionID":"Radarsat1"},dummy value,https://radarsat-r1-l1-cog.s3.ca-central-1.amazonaws.com/2005/7/RS1_X0499104_SCWA_20050713_073234_HH_SCW.tif,4195481,-73.630689 58.107072 -83.043486 59.062828 -84.245533 53.953850 -75.985364 53.037631 -73.630689 58.107072 
578,RADARSAT-1,2005-07-10T18:48:19 +0000,ScanSAR Wide A (W1 W2 W3 S7),HH,SCW,{"headers":["Product Type" "LUT_APPLIED" "Sampled Pixel Spacing (Panchromatic)" "Product Format" "Geodetic Terrain Height"] "imageID":"4195800" "relatedProducts":[{"values":["SCW" "Mixed" "50.0" "CEOS" "0.0"]}] "collectionID":"Radarsat1"},dummy value,https://radarsat-r1-l1-cog.s3.ca-central-1.amazonaws.com/2005/7/RS1_X0498439_SCWA_20050710_184652_HH_SCW.tif,4195800,-81.030025 55.534447 -72.255064 56.467617 -73.517097 61.532422 -83.629628 60.545428 -81.030025 55.534447 
579,RADARSAT-1,2005-07-10T18:47:02 +0000,ScanSAR Wide A (W1 W2 W3 S7),HH,SCW,{"headers":["Product Type" "LUT_APPLIED" "Sampled Pixel Spacing (Panchromatic)" "Product Format" "Geodetic Terrain Height"] "imageID":"4195789" "relatedProducts":[{"values":["SCW" "Mixed" "50.0" "CEOS" "0.0"]}] "collectionID":"Radarsat1"},dummy value,https://radarsat-r1-l1-cog.s3.ca-central-1.amazonaws.com/2005/7/RS1_X0498438_SCWA_20050710_184535_HH_SCW.tif,4195789,-79.120606 51.033739 -71.259817 51.939256 -72.419278 57.028739 -81.291347 56.093206 -79.120606 51.033739 
580,RADARSAT-1,2005-07-10T07:21:42 +0000,ScanSAR Wide A (W1 W2 W3 S7),HH,SCW,{"headers":["Product Type" "LUT_APPLIED" "Sampled Pixel Spacing (Panchromatic)" "Product Format" "Geodetic Terrain Height"] "imageID":"4195722" "relatedProducts":[{"values":["SCW" "Mixed" "50.0" "CEOS" "0.0"]}] "collectionID":"Radarsat1"},dummy value,https://radarsat-r1-l1-cog.s3.ca-central-1.amazonaws.com/2005/7/RS1_X0498608_SCWA_20050710_072015_HH_SCW.tif,4195722,-70.921167 57.107761 -80.113908 58.060358 -81.296583 52.950744 -73.191883 52.033378 -70.921167 57.107761 
581,RADARSAT-1,2005-07-06T19:05:10 +0000,ScanSAR Wide A (W1 W2 W3 S7),HH,SCW,{"headers":["Product Type" "LUT_APPLIED" "Sampled Pixel Spacing (Panchromatic)" "Product Format" "Geodetic Terrain Height"] "imageID":"4195782" "relatedProducts":[{"values":["SCW" "Mixed" "50.0" "CEOS" "0.0"]}] "collectionID":"Radarsat1"},dummy value,https://radarsat-r1-l1-cog.s3.ca-central-1.amazonaws.com/2005/7/RS1_X0498437_SCWA_20050706_190343_HH_SCW.tif,4195782,-85.352531 55.804169 -76.505014 56.740594 -77.771433 61.792414 -87.978253 60.800461 -85.352531 55.804169 
582,RADARSAT-1,2005-07-06T19:03:53 +0000,ScanSAR Wide A (W1 W2 W3 S7),HH,SCW,{"headers":["Product Type" "LUT_APPLIED" "Sampled Pixel Spacing (Panchromatic)" "Product Format" "Geodetic Terrain Height"] "imageID":"4195779" "relatedProducts":[{"values":["SCW" "Mixed" "50.0" "CEOS" "0.0"]}] "collectionID":"Radarsat1"},dummy value,https://radarsat-r1-l1-cog.s3.ca-central-1.amazonaws.com/2005/7/RS1_X0498436_SCWA_20050706_190227_HH_SCW.tif,4195779,-83.452719 51.378997 -75.522053 52.286989 -76.682200 57.351950 -85.640767 56.412558 -83.452719 51.378997 
583,RADARSAT-1,2005-07-03T22:50:27 +0000,ScanSAR Wide A (W1 W2 W3 S7),HH,GRF,{"headers":["Product Type" "LUT_APPLIED" "Sampled Pixel Spacing (Panchromatic)" "Product Format" "Geodetic Terrain Height"] "imageID":"11204667" "relatedProducts":[{"values":["GRF" "" "100.0" "CEOS" "0.0"]}] "collectionID":"Radarsat1"},dummy value,https://radarsat-r1-l1-cog.s3.ca-central-1.amazonaws.com/2005/7/RS1_50441_SWA_F140_20050703_225144_HH_GRF.tif,11204667,-73.971844 58.572817 -82.651838 57.843138 -80.687807 53.348460 -72.923090 54.031229 -73.971844 58.572817 
584,RADARSAT-1,2005-07-03T22:49:46 +0000,ScanSAR Wide A (W1 W2 W3 S7),HH,GRF,{"headers":["Product Type" "LUT_APPLIED" "Sampled Pixel Spacing (Panchromatic)" "Product Format" "Geodetic Terrain Height"] "imageID":"11204681" "relatedProducts":[{"values":["GRF" "" "100.0" "CEOS" "0.0"]}] "collectionID":"Radarsat1"},dummy value,https://radarsat-r1-l1-cog.s3.ca-central-1.amazonaws.com/2005/7/RS1_50441_SWA_F134_20050703_225103_HH_GRF.tif,11204681,-73.405136 56.173681 -81.599673 55.470337 -79.743742 50.966951 -72.400201 51.628985 -73.405136 56.173681 
585,RADARSAT-1,2005-07-03T18:52:26 +0000,ScanSAR Wide A (W1 W2 W3 S7),HH,SCW,{"headers":["Product Type" "LUT_APPLIED" "Sampled Pixel Spacing (Panchromatic)" "Product Format" "Geodetic Terrain Height"] "imageID":"4195777" "relatedProducts":[{"values":["SCW" "Mixed" "50.0" "CEOS" "0.0"]}] "collectionID":"Radarsat1"},dummy value,https://radarsat-r1-l1-cog.s3.ca-central-1.amazonaws.com/2005/7/RS1_X0498435_SCWA_20050703_185100_HH_SCW.tif,4195777,-81.949936 55.264919 -73.238314 56.195511 -74.488553 61.247289 -84.509794 60.264844 -81.949936 55.264919 
586,RADARSAT-1,2005-07-03T18:51:10 +0000,ScanSAR Wide A (W1 W2 W3 S7),HH,SCW,{"headers":["Product Type" "LUT_APPLIED" "Sampled Pixel Spacing (Panchromatic)" "Product Format" "Geodetic Terrain Height"] "imageID":"4195781" "relatedProducts":[{"values":["SCW" "Mixed" "50.0" "CEOS" "0.0"]}] "collectionID":"Radarsat1"},dummy value,https://radarsat-r1-l1-cog.s3.ca-central-1.amazonaws.com/2005/7/RS1_X0498434_SCWA_20050703_184943_HH_SCW.tif,4195781,-80.075244 50.803672 -72.256436 51.707803 -73.408097 56.784164 -82.221122 55.851156 -80.075244 50.803672 
587,RADARSAT-1,2005-07-03T07:24:19 +0000,ScanSAR Wide A (W1 W2 W3 S7),HH,SCW,{"headers":["Product Type" "LUT_APPLIED" "Sampled Pixel Spacing (Panchromatic)" "Product Format" "Geodetic Terrain Height"] "imageID":"4195711" "relatedProducts":[{"values":["SCW" "Mixed" "50.0" "CEOS" "0.0"]}] "collectionID":"Radarsat1"},dummy value,https://radarsat-r1-l1-cog.s3.ca-central-1.amazonaws.com/2005/7/RS1_X0498607_SCWA_20050703_072546_HH_SCW.tif,4195711,-71.816008 57.607767 -81.049025 58.552750 -82.230172 53.490208 -74.099986 52.581619 -71.816008 57.607767 
588,RADARSAT-1,2005-06-26T18:56:13 +0000,ScanSAR Wide A (W1 W2 W3 S7),HH,SCW,{"headers":["Product Type" "LUT_APPLIED" "Sampled Pixel Spacing (Panchromatic)" "Product Format" "Geodetic Terrain Height"] "imageID":"4195780" "relatedProducts":[{"values":["SCW" "Mixed" "50.0" "CEOS" "0.0"]}] "collectionID":"Radarsat1"},dummy value,https://radarsat-r1-l1-cog.s3.ca-central-1.amazonaws.com/2005/6/RS1_X0498433_SCWA_20050626_185449_HH_SCW.tif,4195780,-82.389733 53.820611 -74.022906 54.740258 -75.198767 59.621606 -84.706383 58.660208 -82.389733 53.820611 
589,RADARSAT-1,2005-06-23T11:16:42 +0000,ScanSAR Wide A (W1 W2 W3 S7),HH,GRF,{"headers":["Product Type" "LUT_APPLIED" "Sampled Pixel Spacing (Panchromatic)" "Product Format" "Geodetic Terrain Height"] "imageID":"11202197" "relatedProducts":[{"values":["GRF" "" "100.0" "CEOS" "0.0"]}] "collectionID":"Radarsat1"},dummy value,https://radarsat-r1-l1-cog.s3.ca-central-1.amazonaws.com/2005/6/RS1_50291_SWA_F317_20050623_111759_HH_GRF.tif,11202197,-80.567238 51.129404 -73.384360 50.541304 -71.575411 55.061573 -79.578561 55.692144 -80.567238 51.129404 
590,RADARSAT-1,2005-06-23T11:15:54 +0000,ScanSAR Wide A (W1 W2 W3 S7),HH,GRF,{"headers":["Product Type" "LUT_APPLIED" "Sampled Pixel Spacing (Panchromatic)" "Product Format" "Geodetic Terrain Height"] "imageID":"11202053" "relatedProducts":[{"values":["GRF" "" "100.0" "CEOS" "0.0"]}] "collectionID":"Radarsat1"},dummy value,https://radarsat-r1-l1-cog.s3.ca-central-1.amazonaws.com/2005/6/RS1_50291_SWA_F310_20050623_111712_HH_GRF.tif,11202053,-79.964319 53.942955 -72.303016 53.328806 -70.296364 57.838195 -78.929201 58.500604 -79.964319 53.942955 
591,RADARSAT-1,2005-06-23T07:17:26 +0000,ScanSAR Wide A (W1 W2 W3 S7),HH,SCW,{"headers":["Product Type" "LUT_APPLIED" "Sampled Pixel Spacing (Panchromatic)" "Product Format" "Geodetic Terrain Height"] "imageID":"4195692" "relatedProducts":[{"values":["SCW" "Mixed" "50.0" "CEOS" "0.0"]}] "collectionID":"Radarsat1"},dummy value,https://radarsat-r1-l1-cog.s3.ca-central-1.amazonaws.com/2005/6/RS1_X0498606_SCWA_20050623_071559_HH_SCW.tif,4195692,-69.696200 57.610664 -78.960144 58.559808 -80.147844 53.470011 -71.995606 52.557747 -69.696200 57.610664 
592,RADARSAT-1,2005-06-19T22:58:56 +0000,ScanSAR Wide A (W1 W2 W3 S7),HH,GRF,{"headers":["Product Type" "LUT_APPLIED" "Sampled Pixel Spacing (Panchromatic)" "Product Format" "Geodetic Terrain Height"] "imageID":"11201508" "relatedProducts":[{"values":["GRF" "" "100.0" "CEOS" "0.0"]}] "collectionID":"Radarsat1"},dummy value,https://radarsat-r1-l1-cog.s3.ca-central-1.amazonaws.com/2005/6/RS1_50241_SWA_F140_20050619_230013_HH_GRF.tif,11201508,-76.085753 58.574260 -84.773068 57.848831 -82.805873 53.347645 -75.037047 54.032666 -76.085753 58.574260 
593,RADARSAT-1,2005-06-19T22:58:08 +0000,ScanSAR Wide A (W1 W2 W3 S7),HH,GRF,{"headers":["Product Type" "LUT_APPLIED" "Sampled Pixel Spacing (Panchromatic)" "Product Format" "Geodetic Terrain Height"] "imageID":"11201525" "relatedProducts":[{"values":["GRF" "" "100.0" "CEOS" "0.0"]}] "collectionID":"Radarsat1"},dummy value,https://radarsat-r1-l1-cog.s3.ca-central-1.amazonaws.com/2005/6/RS1_50241_SWA_F133_20050619_225925_HH_GRF.tif,11201525,-75.424849 55.762249 -83.537079 55.063246 -81.706615 50.555055 -74.426183 51.213829 -75.424849 55.762249 
594,RADARSAT-1,2005-06-19T19:00:49 +0000,ScanSAR Wide A (W1 W2 W3 S7),HH,SCW,{"headers":["Product Type" "LUT_APPLIED" "Sampled Pixel Spacing (Panchromatic)" "Product Format" "Geodetic Terrain Height"] "imageID":"4195775" "relatedProducts":[{"values":["SCW" "Mixed" "50.0" "CEOS" "0.0"]}] "collectionID":"Radarsat1"},dummy value,https://radarsat-r1-l1-cog.s3.ca-central-1.amazonaws.com/2005/6/RS1_X0498431_SCWA_20050619_185922_HH_SCW.tif,4195775,-83.916825 54.929994 -75.275500 55.858700 -76.513250 60.899647 -86.433089 59.921256 -83.916825 54.929994 
595,RADARSAT-1,2005-06-19T18:59:31 +0000,ScanSAR Wide A (W1 W2 W3 S7),HH,SCW,{"headers":["Product Type" "LUT_APPLIED" "Sampled Pixel Spacing (Panchromatic)" "Product Format" "Geodetic Terrain Height"] "imageID":"4195776" "relatedProducts":[{"values":["SCW" "Mixed" "50.0" "CEOS" "0.0"]}] "collectionID":"Radarsat1"},dummy value,https://radarsat-r1-l1-cog.s3.ca-central-1.amazonaws.com/2005/6/RS1_X0498430_SCWA_20050619_185804_HH_SCW.tif,4195776,-82.033903 50.388814 -74.283056 51.291836 -75.424333 56.356483 -84.142925 55.426358 -82.033903 50.388814 
596,RADARSAT-1,2005-06-12T19:04:55 +0000,ScanSAR Wide B (W1 W2 S5 S6),HH,SCW,{"headers":["Product Type" "LUT_APPLIED" "Sampled Pixel Spacing (Panchromatic)" "Product Format" "Geodetic Terrain Height"] "imageID":"4195773" "relatedProducts":[{"values":["SCW" "Mixed" "50.0" "CEOS" "0.0"]}] "collectionID":"Radarsat1"},dummy value,https://radarsat-r1-l1-cog.s3.ca-central-1.amazonaws.com/2005/6/RS1_X0498429_SCWB_20050612_190340_HH_SCW.tif,4195773,-85.088567 55.199892 -77.533094 56.045300 -78.747622 60.393950 -87.249206 59.505383 -85.088567 55.199892 
597,RADARSAT-1,2005-06-12T19:03:50 +0000,ScanSAR Wide B (W1 W2 S5 S6),HH,SCW,{"headers":["Product Type" "LUT_APPLIED" "Sampled Pixel Spacing (Panchromatic)" "Product Format" "Geodetic Terrain Height"] "imageID":"4195772" "relatedProducts":[{"values":["SCW" "Mixed" "50.0" "CEOS" "0.0"]}] "collectionID":"Radarsat1"},dummy value,https://radarsat-r1-l1-cog.s3.ca-central-1.amazonaws.com/2005/6/RS1_X0498428_SCWB_20050612_190236_HH_SCW.tif,4195772,-83.498044 51.453642 -76.604803 52.274031 -77.719897 56.650328 -85.366564 55.802114 -83.498044 51.453642 
598,RADARSAT-1,2005-06-12T07:38:40 +0000,ScanSAR Wide A (W1 W2 W3 S7),HH,SCW,{"headers":["Product Type" "LUT_APPLIED" "Sampled Pixel Spacing (Panchromatic)" "Product Format" "Geodetic Terrain Height"] "imageID":"4195689" "relatedProducts":[{"values":["SCW" "Mixed" "50.0" "CEOS" "0.0"]}] "collectionID":"Radarsat1"},dummy value,https://radarsat-r1-l1-cog.s3.ca-central-1.amazonaws.com/2005/6/RS1_X0498605_SCWA_20050612_073719_HH_SCW.tif,4195689,-75.542397 56.516867 -84.484353 57.448597 -85.569364 52.712864 -77.599167 51.810744 -75.542397 56.516867 
599,RADARSAT-1,2005-06-12T07:37:31 +0000,ScanSAR Wide A (W1 W2 W3 S7),HH,SCW,{"headers":["Product Type" "LUT_APPLIED" "Sampled Pixel Spacing (Panchromatic)" "Product Format" "Geodetic Terrain Height"] "imageID":"4195676" "relatedProducts":[{"values":["SCW" "Mixed" "50.0" "CEOS" "0.0"]}] "collectionID":"Radarsat1"},dummy value,https://radarsat-r1-l1-cog.s3.ca-central-1.amazonaws.com/2005/6/RS1_X0498604_SCWA_20050612_073604_HH_SCW.tif,4195676,-73.204658 60.855947 -83.421358 61.843467 -84.682922 56.787119 -75.830842 55.854694 -73.204658 60.855947 
600,RADARSAT-1,2005-06-09T07:24:15 +0000,ScanSAR Wide A (W1 W2 W3 S7),HH,SCW,{"headers":["Product Type" "LUT_APPLIED" "Sampled Pixel Spacing (Panchromatic)" "Product Format" "Geodetic Terrain Height"] "imageID":"4195668" "relatedProducts":[{"values":["SCW" "Mixed" "50.0" "CEOS" "0.0"]}] "collectionID":"Radarsat1"},dummy value,https://radarsat-r1-l1-cog.s3.ca-central-1.amazonaws.com/2005/6/RS1_X0498603_SCWA_20050609_072538_HH_SCW.tif,4195668,-71.471414 58.169242 -80.938314 59.130764 -82.077856 54.308389 -73.716586 53.385575 -71.471414 58.169242 
601,RADARSAT-1,2005-06-02T18:55:42 +0000,ScanSAR Wide A (W1 W2 W3 S7),HH,SCW,{"headers":["Product Type" "LUT_APPLIED" "Sampled Pixel Spacing (Panchromatic)" "Product Format" "Geodetic Terrain Height"] "imageID":"4195618" "relatedProducts":[{"values":["SCW" "Mixed" "50.0" "CEOS" "0.0"]}] "collectionID":"Radarsat1"},dummy value,https://radarsat-r1-l1-cog.s3.ca-central-1.amazonaws.com/2005/6/RS1_X0499737_SCWA_20050602_185415_HH_SCW.tif,4195618,-81.534728 51.642406 -73.526256 52.557944 -74.694453 57.614433 -83.749081 56.665594 -81.534728 51.642406 
602,RADARSAT-1,2005-05-30T11:16:43 +0000,Standard 7,HH,GRF,{"headers":["Product Type" "LUT_APPLIED" "Sampled Pixel Spacing (Panchromatic)" "Product Format" "Geodetic Terrain Height"] "imageID":"11197387" "relatedProducts":[{"values":["GRF" "" "25.0" "CEOS" "0.0"]}] "collectionID":"Radarsat1"},dummy value,https://radarsat-r1-l1-cog.s3.ca-central-1.amazonaws.com/2005/5/RS1_49948_ST7_F311_20050530_111658_HH_GRF.tif,11197387,-79.316091 56.044177 -79.525116 55.135171 -77.938878 55.007329 -77.692328 55.916678 -79.316091 56.044177 
603,RADARSAT-1,2005-05-30T11:16:29 +0000,Standard 7,HH,GRF,{"headers":["Product Type" "LUT_APPLIED" "Sampled Pixel Spacing (Panchromatic)" "Product Format" "Geodetic Terrain Height"] "imageID":"11197262" "relatedProducts":[{"values":["GRF" "" "25.0" "CEOS" "0.0"]}] "collectionID":"Radarsat1"},dummy value,https://radarsat-r1-l1-cog.s3.ca-central-1.amazonaws.com/2005/5/RS1_49948_ST7_F309_20050530_111645_HH_GRF.tif,11197262,-79.128482 56.845165 -79.340745 55.936351 -77.721911 55.808834 -77.470210 56.717923 -79.128482 56.845165 
604,RADARSAT-1,2005-05-30T11:16:16 +0000,Standard 7,HH,GRF,{"headers":["Product Type" "LUT_APPLIED" "Sampled Pixel Spacing (Panchromatic)" "Product Format" "Geodetic Terrain Height"] "imageID":"11197443" "relatedProducts":[{"values":["GRF" "" "25.0" "CEOS" "0.0"]}] "collectionID":"Radarsat1"},dummy value,https://radarsat-r1-l1-cog.s3.ca-central-1.amazonaws.com/2005/5/RS1_49948_ST7_F307_20050530_111631_HH_GRF.tif,11197443,-78.938563 57.642650 -79.154316 56.734029 -77.501361 56.606777 -77.244126 57.515599 -78.938563 57.642650 
605,RADARSAT-1,2005-05-29T19:12:55 +0000,ScanSAR Wide B (W1 W2 S5 S6),HH,SCW,{"headers":["Product Type" "LUT_APPLIED" "Sampled Pixel Spacing (Panchromatic)" "Product Format" "Geodetic Terrain Height"] "imageID":"4195767" "relatedProducts":[{"values":["SCW" "Mixed" "50.0" "CEOS" "0.0"]}] "collectionID":"Radarsat1"},dummy value,https://radarsat-r1-l1-cog.s3.ca-central-1.amazonaws.com/2005/5/RS1_X0498427_SCWB_20050529_191140_HH_SCW.tif,4195767,-86.586786 53.844419 -79.280919 54.680628 -80.457419 59.045800 -88.634939 58.172408 -86.586786 53.844419 
606,RADARSAT-1,2005-05-26T22:59:30 +0000,Standard 4,HH,GRF,{"headers":["Product Type" "LUT_APPLIED" "Sampled Pixel Spacing (Panchromatic)" "Product Format" "Geodetic Terrain Height"] "imageID":"11196940" "relatedProducts":[{"values":["GRF" "" "25.0" "CEOS" "0.0"]}] "collectionID":"Radarsat1"},dummy value,https://radarsat-r1-l1-cog.s3.ca-central-1.amazonaws.com/2005/5/RS1_49898_ST4_F141_20050526_225946_HH_GRF.tif,11196940,-79.070190 56.018258 -79.368204 56.923552 -81.015071 56.749498 -80.678089 55.845605 -79.070190 56.018258 
